RxnIndex,RxnID
Rxn3455,PLPSA218111Z1845Z9Z12Z15Z
Rxn3456,PLPSA21819Z1819Z
Rxn3457,PLPSA21819Z1829Z12Z
Rxn3458,PLPSA21819Z1835Z9Z12Z
Rxn3459,PLPSA21819Z1845Z9Z12Z15Z
Rxn3460,PLPSA21829Z12Z1835Z9Z12Z
Rxn3461,PLPSD1801819Z
Rxn3462,PLPSD18111Z1819Z
Rxn3463,PLPSD1819Z1819Z
Rxn3464,PMEACPE
Rxn3517,PPCL
Rxn3518,PPCL_CTP
Rxn3531,PPIth
Rxn3540,PPOR
Rxn3578,PS_asn_L_c
Rxn3599,PTRCtmi
Rxn3634,PYRShi
Rxn3642,R5PDP
Rxn3643,R5PFL
Rxn3644,R5PPH
Rxn3663,RSPN
Rxn3664,SAGH
Rxn3679,SERDC
Rxn3722,SPHGNAT
Rxn3723,SPHINGSAT
Rxn3724,SPMDtmi
Rxn3727,SPP
Rxn3736,SQDGATCA18111Z160
Rxn3737,SQDGATCA1819Z160
Rxn3738,SQDGATPA18111Z160
Rxn3739,SQDGATPA1819Z160
Rxn3740,SQDGS160
Rxn3741,SQDGS18111Z160
Rxn3742,SQDGS1819Z160
Rxn3751,SSNOm
Rxn3758,SUCDHh
Rxn3759,SUCDHm
Rxn4458,THFGLUS
Rxn4493,TM16018111Z
Rxn4494,TM1601819Z
Rxn4495,TM18111Z18111Z
Rxn4496,TM18111Z1819Z
Rxn4497,TM1819Z18111Z
Rxn4498,TM1819Z1819Z
Rxn4500,TPH
Rxn4520,TSULth
Rxn4521,TSULtm
Rxn4555,UAD
Rxn4561,UDPGALOR
Rxn4566,UDPGLCURH
Rxn4567,UDPGP
Rxn4598,UMPP
Rxn4599,UMPU
Rxn4602,UPH
Rxn4619,URCB
Rxn4620,URCBm
Rxn4621,URCN
Rxn4630,URIH
Rxn4631,URO2
Rxn4639,UTPH
Rxn4657,X5NT
Rxn4668,XTSNRH
Rxn4679,arm_3OACOAR
Rxn4680,arm_3OACOAS
Rxn4689,arm_3OAR180
Rxn4690,arm_3OAR181
Rxn4697,arm_3OAS100
Rxn4698,arm_3OAS120
Rxn4699,arm_3OAS140
Rxn4700,arm_3OAS160
Rxn4701,arm_3OAS180
Rxn4702,arm_3OAS181
Rxn4703,arm_3OAS60
Rxn4704,arm_3OAS80
Rxn4705,arm_AAL_fum
Rxn4711,arm_AATG
Rxn4713,arm_ABFPT
Rxn4714,arm_ABFPTh
Rxn4721,arm_ACCOAhi
Rxn4726,arm_ACOADAGAT16018111Z160
Rxn4727,arm_ACOADAGAT16018111Z180
Rxn4728,arm_ACOADAGAT16018111Z18111Z
Rxn4729,arm_ACOADAGAT16018111Z1819Z
Rxn4730,arm_ACOADAGAT16018111Z1835Z9Z12Z
Rxn4731,arm_ACOADAGAT16018111Z1845Z9Z12Z15Z
Rxn4732,arm_ACOADAGAT1601819Z160
Rxn4733,arm_ACOADAGAT1601819Z180
Rxn4734,arm_ACOADAGAT1601819Z18111Z
Rxn4735,arm_ACOADAGAT1601819Z1819Z
Rxn4736,arm_ACOADAGAT1601819Z1835Z9Z12Z
Rxn4737,arm_ACOADAGAT1601819Z1845Z9Z12Z15Z
Rxn4738,arm_ACOADAGAT1801819Z160
Rxn4739,arm_ACOADAGAT1801819Z180
Rxn4740,arm_ACOADAGAT1801819Z18111Z
Rxn4741,arm_ACOADAGAT1801819Z1819Z
Rxn4742,arm_ACOADAGAT1801819Z1835Z9Z12Z
Rxn4743,arm_ACOADAGAT1801819Z1845Z9Z12Z15Z
Rxn4744,arm_ACOADAGAT18111Z18111Z160
Rxn4745,arm_ACOADAGAT18111Z18111Z180
Rxn4746,arm_ACOADAGAT18111Z18111Z18111Z
Rxn4747,arm_ACOADAGAT18111Z18111Z1819Z
Rxn4748,arm_ACOADAGAT18111Z18111Z1835Z9Z12Z
Rxn4749,arm_ACOADAGAT18111Z18111Z1845Z9Z12Z15Z
Rxn4750,arm_ACOADAGAT18111Z1819Z160
Rxn4751,arm_ACOADAGAT18111Z1819Z180
Rxn4752,arm_ACOADAGAT18111Z1819Z18111Z
